pincode,city,state,device_type,quantity_sold,latitude,longitude
110001,New Delhi,Delhi,Smartphone,156,28.6139,77.2090
400001,Mumbai,Maharashtra,Tablet,98,18.9256,72.8242
700001,Kolkata,West Bengal,Smartphone,87,22.5726,88.3639
600001,Chennai,Tamil Nadu,Laptop,65,13.0827,80.2707
500001,Hyderabad,Telangana,Smartphone,120,17.3850,78.4867
380001,Ahmedabad,Gujarat,Tablet,76,23.0225,72.5714
560001,Bangalore,Karnataka,Laptop,143,12.9716,77.5946
411001,Pune,Maharashtra,Smartphone,92,18.5204,73.8567
302001,Jaipur,Rajasthan,Tablet,54,26.9124,75.7873
248001,Dehradun,Uttarakhand,Smartphone,38,30.3165,78.0322
226001,Lucknow,Uttar Pradesh,Laptop,67,26.8467,80.9462
273001,Gorakhpur,Uttar Pradesh,Smartphone,42,26.7588,83.3697
834001,Ranchi,Jharkhand,Tablet,29,23.3441,85.3096
173001,Shimla,Himachal Pradesh,Smartphone,24,31.1048,77.1734
390001,Vadodara,Gujarat,Laptop,51,22.3072,73.1812
342001,Jodhpur,Rajasthan,Smartphone,35,26.2389,73.0243
682001,Kochi,Kerala,Tablet,48,9.9312,76.2673
781001,Guwahati,Assam,Smartphone,31,26.1445,91.7362
462001,Bhopal,Madhya Pradesh,Laptop,44,23.2599,77.4126
800001,Patna,Bihar,Smartphone,57,25.5941,85.1376
160001,Chandigarh,Chandigarh,Tablet,39,30.7333,76.7794
721001,Midnapore,West Bengal,Smartphone,22,22.4246,87.3196
629001,Nagercoil,Tamil Nadu,Laptop,18,8.1833,77.4119
110045,Delhi,Delhi,Smartphone,110,28.5273,77.1443
411030,Pune,Maharashtra,Tablet,85,18.4668,73.8648
583101,Bellary,Karnataka,Smartphone,33,15.1394,76.9213
751001,Bhubaneswar,Odisha,Laptop,47,20.2961,85.8245
143001,Amritsar,Punjab,Smartphone,64,31.6340,74.8723
524001,Nellore,Andhra Pradesh,Tablet,29,14.4426,79.9865
641001,Coimbatore,Tamil Nadu,Smartphone,72,,
396001,Vapi,Gujarat,Laptop,36,,
302017,Jaipur,Rajasthan,Tablet,41,,
712102,Hooghly,West Bengal,Smartphone,28,,
516001,Kadapa,Andhra Pradesh,Laptop,33,,
